"SpecName"	"LEVEL_3_CO"
"Canis_aureus"	"IRQ"
"Canis_aureus"	"AFG"
"Canis_aureus"	"MOR"
"Canis_aureus"	"CYP"
"Canis_aureus"	"PAK"
"Canis_aureus"	"WHM"
"Canis_aureus"	"LBY"
"Canis_aureus"	"PAL"
"Canis_aureus"	"IND"
"Canis_aureus"	"EGY"
"Canis_aureus"	"SIN"
"Canis_aureus"	"SAU"
"Canis_aureus"	"NEP"
"Canis_aureus"	"CHT"
"Canis_aureus"	"KUW"
"Canis_aureus"	"CNY"
"Canis_aureus"	"WSA"
"Canis_aureus"	"EHM"
"Canis_aureus"	"ASS"
"Canis_aureus"	"MTN"
"Canis_aureus"	"GST"
"Canis_aureus"	"BAN"
"Canis_aureus"	"MYA"
"Canis_aureus"	"MLI"
"Canis_aureus"	"CHC"
"Canis_aureus"	"CHA"
"Canis_aureus"	"OMA"
