Area_code_L3	BodySize	FruitSize	LEVEL_NAME	REGION_NAM	CONTINENT	THREEREALM	REALM_LONG	NEOPALEO	AREA_KM2	LAT	LONG	X_COORD	Y_COORD	PREC_Sum	PREC_CV	P_drie_quart	Tmean_mean	T_cold_quart	Temp_SD	Tmin_cold_month	NPP_mean	NPP_median	ensLGM_Pmean	ensLGM_Tmean	Soil
JAP	678526.5231	3	Japan	Eastern Asia	ASIA-TEMPERATE	OWEast	Palearctic	Old World	370583.9549	37.60209852	138.0289769	13300579.79	4438365.568	1691.1136	38.296	232.2407	105.0527833	-2.4253	8448.8096	-54.2894	7815.64	7564	1051.1343	23.8704	40.86965
JAW	491283.4	2.461333333	Jawa	Malesia	ASIA-TROPICAL	OWEast	IndoMalay	Old World	130751.1062	-7.288626257	110.0767173	10620685.84	-927252.2543	2510.2398	55.0127	235.952	249.6198417	242.9529	488.5873	187.7777	9836.28	9316	2119.1335	233.391	33.42435
KEN	449582.6857	6.235714286	Kenya	East Tropical Africa	AFRICA	OWWest	Afrotropics	Old World	581883.6823	0.529780176	37.85786442	3652765.448	67468.23558	604.4007	84.4218	46.7221	242.1682583	228.0666	1014.967	162.9872	4602.17	3208	581.6641	212.9548	43.2213
KRI	1091413.536	1.5	Kriti	Southeastern Europe	EUROPE	OWWest	Palearctic	Old World	8219.567177	35.22812339	24.84437978	2397221.778	4222545.098	769.9486	83.8193	12.3353	163.5514167	100.3197	5196.6304	68.6704	7706.24	7042	627.3956	134.5166	39.95166
LAO	347518.3917	2.497115385	Laos	Indo-China	ASIA-TROPICAL	OWEast	IndoMalay	Old World	229922.0305	18.50245057	103.7634056	10013495.31	2316230.237	1888.7443	93.0613	40.2324	228.2782083	189.6126	2600.627	115.3663	11517.1	12213	1535.9379	208.5966	38.09816
LBR	616488.65	3.691666667	Liberia	West Tropical Africa	AFRICA	OWWest	Afrotropics	Old World	96025.83834	6.448118463	-9.307846564	-897973.8281	820589.6343	2687.0125	57.5724	211.3745	255.941175	245.2457	817.5859	188.8711	7418.94	7213	6367.1284	231.0334	40.87027
LBY	1178152.186	4.115	Libya	Northern Africa	AFRICA	OWWest	Palearctic	Old World	1617603.366	27.04404524	18.02318627	1741645.693	3312637.617	30.9719	49.7274	0.2043	216.6814833	130.1435	6251.1104	48.3378	1130.98	519	39.1463	200.1219	43.30957
LEE	14767.4375	2.241666667	Leeward Is. AB Ant	Caribbean	SOUTHERN AMERICA	NewWorld	Neotropics	New World	3415.493285	16.92097024	-62.28981026	-6009729.027	2127600.161	1605.2521	34.3449	221.4542	253.5933667	237.5461	1117.4757	199.4475	15760.2	15536	1300.1169	232.4408	38.79118
LOU	903747.135	1.425	Louisiana	Southeastern U.S.A.	NORTHERN AMERICA	NewWorld	Nearctic	New World	119130.5848	31.07581713	-92.01956256	-8878048.752	3775439.242	1465.1573	16.6906	295.3871	188.9969	99.859	6629.1133	31.1223	7287.43	6961	2045.8457	39.3994	38.32074
LSI	244490.219	4.235714286	Lesser Sunda Is.	Malesia	ASIA-TROPICAL	OWEast	Australasia	Old World	105149.129	-8.633678479	123.0810076	11876250.23	-1096890.867	1736.9007	72.8135	93.5781	244.4719833	232.3742	793.3922	180.8103	12842	12258	1602.6456	225.8287	37.49825
MAU	280.0333333	2.96875	Mauritius	Western Indian Ocean	AFRICA	OWWest	Afrotropics	Old World	2055.703412	-20.19561777	57.55522668	5553251.863	-2523960.561	1840.3559	51.4411	207.2152	223.2663417	195.709	2137.469	157.8475	14932.6	14154	2400.8918	209.9887	40.07345
MDG	13522.592	1.866408046	Madagascar	Western Indian Ocean	AFRICA	OWWest	Afrotropics	Old World	592995.3351	-19.37352133	46.70599248	4508285.791	-2414750.741	1381.5251	96.401	65.2073	228.6556167	196.8652	2183.6624	127.3934	7974.92	6641	2137.9199	199.2807	53.23347
MLI	1712732.786	10.25	Mali	West Tropical Africa	AFRICA	OWWest	Afrotropics	Old World	1252274.733	17.35036933	-3.524336718	-342278.1856	2168979.32	309.8257	131.4095	0.3756	282.5522083	220.952	4479.521	126.1479	774.717	242	467.8293	255.6694	59.8266
MLW	465948.1667	6.43	Malawi	South Tropical Africa	AFRICA	OWWest	Afrotropics	Old World	118524.433	-13.21510424	34.30698504	3309841.723	-1668702.999	1090.4947	105.3088	14.2785	220.4641667	187.115	2241.5664	120.2795	7752.35	7384	1141.2926	181.5048	52.93691
MLY	428056.5091	2.064295154	Malaya	Malesia	ASIA-TROPICAL	OWEast	IndoMalay	Old World	132152.0606	4.028255407	102.1784344	9858902.193	513119.6319	2551.1473	35.0634	408.8245	257.5492917	250.3106	504.3636	205.0675	11393	11527	1756.2777	242.0339	38.03227
