LEVEL_3_CO,ID,LEVEL_NAME,REGION_NAM,CONTINENT,THREEREALM,REALM_LONG,NEOPALEO,AREA_M2,AREA_KM2,PERIMETER,LAT,LONG,X_COORD,Y_COORD,ISISLAND,PALMSR,PalmPresAbs,srtm_alt_mean,srtm_alt_median,srtm_alt_min,srtm_alt_max,alt_min0,alt_range,soilcount,PREC_Sum,PREC_CV,P_drie_quart,Tmean_mean,T_cold_quart,Temp_SD,Tmin_cold_month,GPP_mean,GPP_median,GPP_min,GPP_max,GPP_range,GPP_SD,NPP_mean,NPP_median,NPP_min,NPP_max,NPP_range,NPP_SD,GeologicalOrigin,Geology_3categ,DistToCont_m,DistToCont_km,NearestMainland,ensLGM_Pmean,ensLGM_Tmean,ensLGM_Pano,ensLGM_Tano,ccLGM_Tmean,ccLGM_Pmean,miLGM_Tmean,miLGM_Pmean,ccAnoTmean,ccAnoTmedian,miAnoTmean,miAnoTmedian,ccAnoPmean,ccAnoPmedian,miAnoPmean,miAnoPmedian,PLIO_PREC_30s,PLIO_TEMP_30s,PLIO_P_ANOM,PLIO_T_ANOM,Plio_Wmm_mean,Plio_Cmm_mean,Mio_Prec_Mean,Mio_Temp_Mean,VelocityMean,VelocityMedian,VelocityMeanLog,CH_Extent,CH_Mean,CH_Range,CH_CV,CH_Min,CH_Max,CH_Median,CH_SD,CH_Majority,CH_Sum,CH_Variety,CH_PercCover,CH_PercQuart4
MPE,197,Marion-Prince Edward Is.,Subantarctic Islands,ANTARCTIC,OWEast,Antarctica,Old World,338057347.6,338.0573476,99887.7844,-46.85955871,37.76015675,3643348.147,-5346219.129,1,0,0,391.8896,334,-2,1161,0,1161,1,2497.0864,7.4655,567.4138,40.02154167,22.2741,1439.3224,-2.8517,6402.04,5860,0,19122,19122,6083.58,7205.12,7052,1287,13319,12032,3362.84,volcanic,volcanic,1644536.209,1644.536209,CPP,2207.6731,7.8728,285.8034,32.8707,-5.7295,1988.4106,19.3897,2444.3767,44.9845,46,22.0071,23,513.0397,504,43.8153,41,3514.36,77.1476,-1022.8,-36.2385,0,0,0,0,8.338013078,7.952076435,0.869461144,1,,,,,,,,,,,,
MRN,198,Marianas,Northwestern Pacific,PACIFIC,OWEast,Oceania,Old World,1192643776,1192.643776,462174.8478,14.90077071,145.1965445,14009200.9,1876756.524,1,1,1,116.2512,92,-2,774,0,774,1,2210.2215,50.3105,271.4934,264.7355,255.7224,569.8353,227.5807,21909.6,23704,0,39841,39841,15653.5,14755.2,17598,2094,19387,17293,4140.47,volcanic,volcanic,2238681.718,2238.681718,KOR,4702.5806,252.1339,-2660.3838,11.9127,251.2224,2432.2507,252.4738,6982.1006,12.8031,14,11.4251,11,-207.3814,-143,-5134.0576,-5633,4778.98,295.847,-2750.24,-31.8853,0,0,0,0,0.962096453,0.962096453,-0.101190237,1,,,,,,,,,,,,
MRQ,199,Marquesas,South-Central Pacific,PACIFIC,NewWorld,Oceania,New World,1086423465,1086.423465,497348.4382,-9.365579592,-139.5862139,-13468241.06,-1189441.233,1,1,1,333.9637,296,-7,1103,0,1103,1,1367.5966,28.6014,230.5138,250.5128,,,,28376.4,29619,0,43067,43067,12196.2,15709.4,16021,1134,21977,20843,5445.4,volcanic,volcanic,4848534.154,4848.534154,MXN,2050.689,241.5721,-698.1594,,238.5592,1414.4841,243.6248,2711.3103,,,,,-47.3197,-57,-1370.132,-1245,2848.59,296.032,-1459.28,,0,0,0,0,1.0800291,1.0800291,-0.034645995,1,,,,,,,,,,,,
MRS,200,Marshall Is.,Northwestern Pacific,PACIFIC,OWEast,Oceania,Old World,129281445.8,129.2814458,227022.9185,8.421679955,168.6103943,16269094.19,1068301.979,1,0,0,5.0889,4,0,14,0,14,1,2922.6223,23.7333,504.0222,275.674075,273.1778,187.2,249.0889,1529.79,0,0,39329,39329,5549.55,8551.33,8318,2150,18349,16199,4562.74,atoll,atoll,3193367.341,3193.367341,QLD,2436.0464,260.5563,407.8445,15.8444,256.8278,1800.5166,264.1589,3078.7351,19.2,20,12.1111,13,1033.5555,1045,-66.8889,-178,8912.32,302.558,-5786.46,-26.8293,0,0,0,0,,,,1,,,,,,,,,,,,
MRY,201,Maryland,Southeastern U.S.A.,NORTHERN AMERICA,NewWorld,Nearctic,New World,25586941017,25586.94102,2131667.336,39.04679397,-76.79724029,-7409474.707,4612236.942,0,0,0,136.0288,53,-28,1004,0,1004,3,1075.6634,11.7663,236.2447,121.6808083,10.6159,8405.7305,-50.3419,11123,11783,0,30264,30264,5067.73,6384.5,5992,979,18205,17226,1693.72,mainland,mainland,,,,1123.028,-59.4644,-46.2974,181.9283,-86.6519,870.1274,-31.8304,1376.5773,209.0868,212,154.3832,157,206.8669,216,-299.7751,-306,3104.55,152.523,-2031.06,-30.3193,25.2733,1.06667,3.151,16.777,,,,1,18.4352,62,0.334078827,1,63,18,6.15881,20,709756,33,0.338529988,0.042786673
MSI,202,Mississippi,Southeastern U.S.A.,NORTHERN AMERICA,NewWorld,Nearctic,New World,1.2406E+11,124059.7443,1843201.436,32.75582597,-89.67327133,-8652366.622,3957183.894,0,3,1,91.1561,93,-41,214,0,214,4,1453.9646,19.7805,268.0921,173.2280333,77.5122,7171.3193,6.3718,15216.9,15430,0,33378,33378,4996.06,6719.28,6151,894,18717,17823,2361.63,mainland,mainland,,,,1918.5511,17.8518,-464.7911,155.4943,-24.5839,1714.6776,60.7846,2122.9263,197.94,201,112.5793,111,-260.6124,-273,-669.7357,-669,2846.01,196.849,-1392.04,-23.5646,32.1213,6.17733,2.62843,24.5594,38.46113947,37.78602982,1.558448867,1,18.7272,62,0.212550728,1,63,19,3.98048,19,3643930,46,0.381913858,0.021040896
MSO,203,Missouri,North-Central U.S.A.,NORTHERN AMERICA,NewWorld,Nearctic,New World,1.80416E+11,180416.1428,2179095.017,38.37437865,-92.49049605,-8923133.296,4542478.426,0,0,0,262.1193,262,54,540,54,486,5,1040.1413,28.2615,160.9908,124.2832833,-2.9875,9351.5723,-77.9193,11136,10836,0,20734,20734,2468.29,5388.7,5513,681,10707,10026,765.032,mainland,mainland,,,,1219.1102,-105.323,-179.0292,229.6443,-120.4301,1064.2937,-89.7314,1374.3556,244.7473,245,214.0637,218,-24.224,-41,-334.2641,-343,2338.84,162.251,-1298.81,-37.9401,31.4643,1.17783,2.371,20.8724,51.69501978,51.32588387,1.703847085,1,14.9744,62,0.32157816,1,63,14,4.81544,14,2211390,32,0.186050789,0.0047559
MTN,204,Mauritania,West Tropical Africa,AFRICA,OWWest,Afrotropics,Old World,1.03846E+12,1038464.871,5697312.518,20.25990361,-10.33226041,-998007.82,2522330.882,0,1,1,263.176,294,-9,892,0,892,12,91.0809,117.4535,0.6802,276.496425,207.5196,5027.0581,124.2525,161.443,0,0,6200,6200,425.529,9.40624,0,0,1879,1879,36.0532,mainland,mainland,,,,126.2056,248.6997,-35.1399,27.8132,253.919,88.6795,243.9836,164.2286,22.5966,23,32.5229,33,2.3911,8,-73.1665,-40,342.069,336.255,-251.062,-59.7546,38.4755,23.1453,1.73604,29.6283,68.13807243,68.50885773,1.822955383,1,,,,,,,,,,,,
MXC,205,Mexico Central,Mexico,NORTHERN AMERICA,NewWorld,Neotropics,New World,66275273477,66275.27348,1811837.784,19.13109566,-98.58581279,-9512151.602,2396274.638,0,8,1,2003.1526,2213,49,5469,49,5420,7,980.9923,88.888,41.7135,173.2674917,147.1516,1862.5056,57.4543,13802.6,13780,0,33843,33843,6797.47,8862.54,8832,1085,20461,19376,3272.7,mainland,mainland,,,,1105.3156,144.9452,-124.2304,28.3554,136.7949,1385.0881,153.6042,825.8384,36.5143,37,19.595,20,-404.1028,-341,155.95,146,1889.8,247.225,-908.646,-73.8992,28.094,16.67,2.31333,19.8097,9.422836065,9.690834045,0.948607711,1,21.1099,37,0.215749009,15,52,19,4.55444,19,1036940,29,0.202325543,0.039455149
MXE,206,Mexico Northeast,Mexico,NORTHERN AMERICA,NewWorld,Nearctic,New World,8.71044E+11,871044.1481,6037015.408,25.85227543,-103.0607542,-9939943.507,3178776.224,0,11,1,1441.5544,1500,-8,3643,0,3643,13,525.4375,82.947,33.1946,183.8665583,120.7364,4627.6963,32.923,7818.96,6462,0,37234,37234,5392.39,4651.35,3877,645,19695,19050,2784.56,mainland,mainland,,,,714.85,142.9822,-188.612,41.0424,136.526,585.744,149.9488,844.4302,47.5176,36,34.0464,33,-58.9438,31,-318.8217,-225,2116.37,218.901,-1589.7,-34.958,30.1574,10.4634,1.46373,21.4414,1.366369199,1.155760944,0.051993389,1,22.3813,43,0.164300554,9,52,22,3.67726,19,7973640,35,0.106356352,0.046613448
MXG,207,Mexico Gulf,Mexico,NORTHERN AMERICA,NewWorld,Neotropics,New World,71169322871,71169.32287,2674202.283,19.37738436,-96.405429,-9300733.316,2423947.208,0,34,1,303.7027,72,-11,4786,0,4786,9,1716.069,72.5808,124.5163,238.8157667,202.6628,2532.7463,147.106,19805.6,18498,0,38926,38926,6215.56,10691.5,9982,911,21064,20153,2897.23,mainland,mainland,,,,1869.9927,209.7025,-154.8597,29.2006,200.9945,2436.3674,218.9085,1304.2006,37.9282,39,20.004,18,-722.1326,-649,412.3337,462,1651.55,253.874,65.0353,-15.1002,29.2883,17.1483,3.0005,21.2415,5.325904503,2.977731228,0.493955309,1,25.8423,50,0.254816328,2,52,27,6.58504,19,1109080,39,0.164330322,0.11298308
MXI,208,Mexican Pacific Is.,Mexico,NORTHERN AMERICA,NewWorld,Nearctic,New World,545289822.7,545.2898227,179277.5339,24.96150051,-115.5593454,-11137389.57,3053105.197,1,1,1,389.8854,344,0,1247,0,1247,1,209.0399,93.6196,3.4734,181.2522083,156.3405,2132.8953,116.686,6092.24,0,0,39345,39345,10051.1,7998.87,4613,1846,20884,19038,5829.45,volcanic,volcanic,257712.6862,257.7126862,MXN,175.2435,161.6095,26.6478,24.412,161.8313,149.5537,160.1252,207.4136,23.3953,24,27.3412,27,57.3738,43,-11.2034,-76,1727.08,240.039,-1397.35,-53.6386,0,0,0,0,5.570259784,6.044669628,0.587592822,1,,,,,,,,,,,,
MXN,209,Mexico Northwest,Mexico,NORTHERN AMERICA,NewWorld,Nearctic,New World,3.82803E+11,382803.3575,8822090.137,28.4912303,-111.3789827,-10742947.05,3480488.746,0,11,1,493.2749,356,-34,2838,0,2838,9,361.929,89.9585,13.0726,208.7869583,146.3584,4983.5469,62.2073,5541.02,4649,0,37277,37277,4158.77,3016.2,2409,216,22252,22036,1882.92,mainland,mainland,,,,588.994,169.7707,-230.2351,39.2955,165.7061,287.438,174.3079,891.1064,43.4116,39,34.715,35,73.0597,69,-535.1085,-381,1199.88,234.498,-837.993,-25.532,31.6026,13.966,0.68155,22.6541,0.704831898,0.704831898,-0.15191445,1,20.7135,47,0.127773191,5,52,19,2.64663,19,4035270,34,0.129332802,0.030517161
